,knn__algorithm,knn__metric,knn__n_neighbors,knn__weights,auc,f1,sensitivity,specificity,accuracy
Outer 240,auto,euclidean,3,uniform,0.6210672036244652,0.17142857142857143,0.10344827586206896,0.9781021897810219,0.8253012048192772
Outer 241,auto,euclidean,3,uniform,0.6172917191039518,0.24242424242424243,0.13793103448275862,1.0,0.8493975903614458
Outer 242,auto,euclidean,3,uniform,0.5739994966020641,0.21621621621621623,0.13793103448275862,0.9708029197080292,0.8253012048192772
Outer 243,auto,euclidean,3,uniform,0.6210672036244652,0.2631578947368421,0.1724137931034483,0.9708029197080292,0.8313253012048193
Outer 244,auto,euclidean,3,uniform,0.7040020135917442,0.2702702702702703,0.1724137931034483,0.9781021897810219,0.8373493975903614
Outer 245,auto,euclidean,3,uniform,0.6138937830354896,0.2564102564102564,0.1724137931034483,0.9635036496350365,0.8253012048192772
Outer 246,auto,euclidean,3,uniform,0.6021897810218978,0.10810810810810811,0.06896551724137931,0.9562043795620438,0.8012048192771084
Outer 247,auto,euclidean,3,uniform,0.6073496098665996,0.17142857142857143,0.10344827586206896,0.9781021897810219,0.8253012048192772
Outer 248,auto,euclidean,3,uniform,0.6369242386106216,0.17647058823529413,0.10344827586206896,0.9854014598540146,0.8313253012048193
Outer 249,auto,euclidean,3,uniform,0.6073496098665997,0.15,0.10344827586206896,0.9416058394160584,0.7951807228915663
Outer 250,auto,euclidean,3,uniform,0.5308331235841932,0.058823529411764705,0.034482758620689655,0.9708029197080292,0.8072289156626506
Outer 251,auto,euclidean,3,uniform,0.642587465391392,0.12903225806451613,0.06896551724137931,1.0,0.8373493975903614
Outer 252,auto,euclidean,3,uniform,0.5638056883966776,0.15789473684210525,0.10344827586206896,0.9562043795620438,0.8072289156626506
Outer 253,auto,euclidean,3,uniform,0.666624716838661,0.21621621621621623,0.13793103448275862,0.9708029197080292,0.8253012048192772
Outer 254,auto,euclidean,3,uniform,0.6607097910898566,0.22857142857142856,0.13793103448275862,0.9854014598540146,0.8373493975903614
Outer 255,auto,euclidean,3,uniform,0.577397432670526,0.1111111111111111,0.06896551724137931,0.9635036496350365,0.8072289156626506
Outer 256,auto,euclidean,3,uniform,0.5752579914422351,0.23529411764705882,0.13793103448275862,0.9927007299270073,0.8433734939759037
Outer 257,auto,euclidean,3,uniform,0.5416561792096652,0.11428571428571428,0.06896551724137931,0.9708029197080292,0.8132530120481928
Outer 258,auto,euclidean,3,uniform,0.5770198842184747,0.2222222222222222,0.13793103448275862,0.9781021897810219,0.8313253012048193
Outer 259,auto,euclidean,3,uniform,0.6237100427888246,0.10526315789473684,0.06896551724137931,0.948905109489051,0.7951807228915663
Outer 260,auto,euclidean,3,uniform,0.614397180971558,0.23529411764705882,0.13793103448275862,0.9927007299270073,0.8433734939759037
Outer 261,auto,euclidean,3,uniform,0.6498867354643846,0.2564102564102564,0.1724137931034483,0.9635036496350365,0.8253012048192772
Outer 262,auto,euclidean,3,uniform,0.555625471935565,0.05555555555555555,0.034482758620689655,0.9562043795620438,0.7951807228915663
Outer 263,auto,euclidean,3,uniform,0.6194311603322427,0.17777777777777778,0.13793103448275862,0.9124087591240876,0.7771084337349398
Outer 264,auto,euclidean,3,uniform,0.6141454820035238,0.16216216216216217,0.10344827586206896,0.9635036496350365,0.8132530120481928
Outer 265,auto,euclidean,3,uniform,0.7164611125094388,0.2857142857142857,0.1724137931034483,0.9927007299270073,0.8493975903614458
Outer 266,auto,euclidean,3,uniform,0.6215706015605336,0.17142857142857143,0.10344827586206896,0.9781021897810219,0.8253012048192772
Outer 267,auto,euclidean,3,uniform,0.5434180719859047,0.05714285714285714,0.034482758620689655,0.9635036496350365,0.8012048192771084
Outer 268,auto,euclidean,3,uniform,0.49660206393153783,0.16216216216216217,0.10344827586206896,0.9635036496350365,0.8132530120481928
Outer 269,auto,euclidean,3,uniform,0.6042033727661718,0.21052631578947367,0.13793103448275862,0.9635036496350365,0.8192771084337349
Outer 270,auto,euclidean,3,uniform,0.6216964510445507,0.17142857142857143,0.10344827586206896,0.9781021897810219,0.8253012048192772
Outer 271,auto,euclidean,3,uniform,0.4932041278630758,0.12121212121212122,0.06896551724137931,0.9854014598540146,0.8253012048192772
Outer 272,auto,euclidean,3,uniform,0.7129373269569594,0.3902439024390244,0.27586206896551724,0.9708029197080292,0.8493975903614458
Outer 273,auto,euclidean,3,uniform,0.6142713314875409,0.2702702702702703,0.1724137931034483,0.9781021897810219,0.8373493975903614
Outer 274,auto,euclidean,3,uniform,0.7218726403221747,0.2702702702702703,0.1724137931034483,0.9781021897810219,0.8373493975903614
Outer 275,auto,euclidean,3,uniform,0.6483765416561792,0.25,0.1724137931034483,0.9562043795620438,0.8192771084337349
Outer 276,auto,euclidean,3,uniform,0.6120060407752328,0.17142857142857143,0.10344827586206896,0.9781021897810219,0.8253012048192772
Outer 277,auto,euclidean,3,uniform,0.6282406242134407,0.22857142857142856,0.13793103448275862,0.9854014598540146,0.8373493975903614
Outer 278,auto,euclidean,3,uniform,0.6912912157060156,0.3902439024390244,0.27586206896551724,0.9708029197080292,0.8493975903614458
Outer 279,auto,euclidean,3,uniform,0.5897306821042034,0.05714285714285714,0.034482758620689655,0.9635036496350365,0.8012048192771084
Outer 280,auto,euclidean,3,uniform,0.662219984898062,0.3076923076923077,0.20689655172413793,0.9708029197080292,0.8373493975903614
Outer 281,auto,euclidean,3,uniform,0.5580166121318902,0.2564102564102564,0.1724137931034483,0.9635036496350365,0.8253012048192772
Outer 282,auto,euclidean,3,uniform,0.6357915932544677,0.18181818181818182,0.10344827586206896,0.9927007299270073,0.8373493975903614
Outer 283,auto,euclidean,3,uniform,0.6595771457337024,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
