,n_estimators,min_samples_split,min_samples_leaf,max_samples,max_depth,bootstrap,auc,f1,sensitivity,specificity,accuracy
Outer 654,63,4,2,0.5294610626702864,5,True,0.8467153284671534,0.0625,0.034482758620689655,0.9854014598540146,0.8192771084337349
Outer 655,59,5,2,0.6945915537643881,2,True,0.7651648628240624,0.0,0.0,1.0,0.8253012048192772
Outer 656,60,4,4,0.7984374829072739,3,True,0.7583689906871383,0.0,0.0,1.0,0.8253012048192772
Outer 657,68,2,4,0.9376912519994561,8,True,0.7125597785049081,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 658,53,5,4,0.8978231588622443,8,True,0.7442738484772212,0.0,0.0,1.0,0.8253012048192772
Outer 659,72,5,4,0.6374096543418091,7,True,0.6755600302038761,0.06451612903225806,0.034482758620689655,0.9927007299270073,0.8253012048192772
Outer 660,75,4,4,0.7267580327938513,3,True,0.7968789327963756,0.0,0.0,1.0,0.8253012048192772
Outer 661,63,4,4,0.9714944931818763,4,True,0.7402466649886735,0.0,0.0,1.0,0.8253012048192772
Outer 662,69,3,2,0.8562353311449422,10,True,0.6715328467153285,0.18181818181818182,0.10344827586206896,0.9927007299270073,0.8373493975903614
Outer 663,49,3,1,0.7393467690433,3,True,0.7802668009061163,0.0,0.0,1.0,0.8253012048192772
Outer 664,38,5,2,0.913731213137472,3,True,0.8295997986408256,0.0,0.0,1.0,0.8253012048192772
Outer 665,74,2,2,0.9858456443168186,2,True,0.8688648376541657,0.0,0.0,1.0,0.8253012048192772
Outer 666,70,4,1,0.9676600754118624,8,True,0.7827837905864586,0.0,0.0,1.0,0.8253012048192772
Outer 667,63,5,4,0.8159323048604522,4,True,0.7221243392902089,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 668,71,5,4,0.8856372157691381,10,True,0.8175182481751825,0.12903225806451613,0.06896551724137931,1.0,0.8373493975903614
Outer 669,69,3,3,0.6167358844975301,8,True,0.786559275106972,0.0625,0.034482758620689655,0.9854014598540146,0.8192771084337349
Outer 670,72,5,4,0.9564740941632375,2,True,0.6619682859300278,0.0,0.0,1.0,0.8253012048192772
Outer 671,74,3,2,0.5204930178131124,5,True,0.6712811477472942,0.1875,0.10344827586206896,1.0,0.8433734939759037
Outer 672,40,2,1,0.9905726614775283,3,True,0.8107223760382583,0.0,0.0,1.0,0.8253012048192772
Outer 673,66,4,2,0.8431939789257008,9,True,0.793103448275862,0.0,0.0,1.0,0.8253012048192772
Outer 674,70,2,1,0.9218256216039367,8,True,0.6987163352630255,0.12903225806451613,0.06896551724137931,1.0,0.8373493975903614
Outer 675,67,4,2,0.9337389766306107,5,True,0.7654165617920966,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 676,58,3,2,0.6334133805654849,3,True,0.7447772464132897,0.0,0.0,1.0,0.8253012048192772
Outer 677,42,2,3,0.7471346488555866,10,True,0.7681852504404731,0.0,0.0,0.9927007299270073,0.8192771084337349
Outer 678,55,2,2,0.8926667652100873,7,True,0.7399949660206393,0.17647058823529413,0.10344827586206896,0.9854014598540146,0.8313253012048193
Outer 679,62,2,3,0.8717814935215816,9,True,0.742763654669016,0.12903225806451613,0.06896551724137931,1.0,0.8373493975903614
Outer 680,72,2,2,0.8982163166481882,3,True,0.6768185250440474,0.0,0.0,0.9927007299270073,0.8192771084337349
Outer 681,73,4,3,0.714576314901018,4,True,0.7467908381575635,0.0,0.0,1.0,0.8253012048192772
Outer 682,70,3,4,0.8745191079442178,4,True,0.6649886735464385,0.1176470588235294,0.06896551724137931,0.9781021897810219,0.8192771084337349
Outer 683,68,4,1,0.7194794510094977,2,True,0.6050843191542915,0.0,0.0,1.0,0.8253012048192772
Outer 684,60,4,1,0.7547460954989544,3,True,0.7165869619934558,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 685,71,5,1,0.9602311004597692,8,True,0.7628995721117544,0.2424242424242424,0.13793103448275862,1.0,0.8493975903614458
Outer 686,70,2,4,0.9896470915173481,4,True,0.7681852504404733,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 687,29,5,3,0.8102308309568511,9,True,0.7694437452806443,0.2424242424242424,0.13793103448275862,1.0,0.8493975903614458
Outer 688,64,3,2,0.9805192505487468,7,True,0.7359677825320916,0.125,0.06896551724137931,0.9927007299270073,0.8313253012048193
Outer 689,61,2,3,0.9243049120602382,5,True,0.7291719103951674,0.0,0.0,1.0,0.8253012048192772
Outer 690,64,5,4,0.8894571800239444,9,True,0.6451044550717342,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 691,46,3,2,0.7732860218642597,5,True,0.7847973823307324,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 692,66,4,4,0.9936144394362119,8,True,0.6999748301031965,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 693,59,5,3,0.7670903251504195,5,True,0.750566322678077,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 694,39,3,3,0.8818998347579932,9,True,0.7467908381575635,0.12903225806451613,0.06896551724137931,1.0,0.8373493975903614
Outer 695,46,3,4,0.9762398537966275,6,True,0.6327712056380569,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 696,74,3,2,0.8556324332726911,4,True,0.7168386609614901,0.125,0.06896551724137931,0.9927007299270073,0.8313253012048193
Outer 697,53,5,3,0.9275220740738434,3,True,0.7933551472438963,0.0,0.0,1.0,0.8253012048192772
Outer 698,74,4,4,0.8927203654834275,5,True,0.7130631764409766,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 699,46,3,4,0.8362690760315301,10,True,0.720110747545935,0.125,0.06896551724137931,0.9927007299270073,0.8313253012048193
Outer 700,34,5,3,0.9987416197380259,5,True,0.7795117040020136,0.1875,0.10344827586206896,1.0,0.8433734939759037
Outer 701,58,5,3,0.8058760329755513,6,True,0.6624716838660961,0.1212121212121212,0.06896551724137931,0.9854014598540146,0.8253012048192772
Outer 702,75,3,4,0.5631688948163773,3,True,0.7676818525044048,0.0,0.0,1.0,0.8253012048192772
Outer 703,52,5,2,0.7158604528958412,6,True,0.6471180468160082,0.18181818181818182,0.10344827586206896,0.9927007299270073,0.8373493975903614
Outer 704,34,4,3,0.8351328833517166,7,True,0.7294236093632016,0.06451612903225806,0.034482758620689655,0.9927007299270073,0.8253012048192772
Outer 705,52,2,2,0.7368081856746393,10,True,0.7135665743770451,0.17647058823529413,0.10344827586206896,0.9854014598540146,0.8313253012048193
Outer 706,54,2,3,0.9902265979656244,4,True,0.6493833375283161,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 707,62,2,4,0.9711644296425432,8,True,0.8009061162849231,0.12903225806451613,0.06896551724137931,1.0,0.8373493975903614
Outer 708,33,2,4,0.8117044931966348,5,True,0.7276617165869621,0.0,0.0,1.0,0.8253012048192772
Outer 709,55,2,3,0.7349687093787511,3,True,0.7057639063679839,0.0,0.0,1.0,0.8253012048192772
Outer 710,53,4,2,0.8269586456639635,10,True,0.7832871885225271,0.18181818181818182,0.10344827586206896,0.9927007299270073,0.8373493975903614
Outer 711,54,3,3,0.8419742688006678,3,True,0.7158318650893531,0.06451612903225806,0.034482758620689655,0.9927007299270073,0.8253012048192772
Outer 712,69,4,1,0.8542971789077947,4,True,0.687389881701485,0.0,0.0,1.0,0.8253012048192772
Outer 713,75,3,4,0.7484358709856969,2,True,0.7457840422854267,0.0,0.0,1.0,0.8253012048192772
Outer 714,69,3,4,0.9287093289267584,6,True,0.7226277372262774,0.12903225806451613,0.06896551724137931,1.0,0.8373493975903614
Outer 715,75,5,1,0.6254607098336589,3,True,0.7759879184495343,0.0,0.0,1.0,0.8253012048192772
Outer 716,58,2,3,0.857023984960659,6,True,0.7998993204127863,0.17647058823529413,0.10344827586206896,0.9854014598540146,0.8313253012048193
Outer 717,60,5,4,0.6557471757203016,8,True,0.794110244147999,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
