,n_estimators,min_samples_split,min_samples_leaf,max_samples,max_depth,bootstrap,auc,f1,sensitivity,specificity,accuracy
Outer 14 - Inner 1,123,4,2,0.5776905986220917,24,True,0.7904606091115027,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 14 - Inner 2,123,5,2,0.6639491826893691,25,True,0.8308582934809967,0.0,0.0,0.9927007299270073,0.8192771084337349
Outer 14 - Inner 3,113,6,2,0.6135891603557618,30,True,0.8144978605587717,0.125,0.06896551724137931,0.9927007299270073,0.8313253012048193
Outer 14 - Inner 4,156,8,4,0.7033083511687399,12,True,0.7774981122577398,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 14 - Inner 5,116,2,1,0.8110623831578507,23,True,0.7684369494085074,0.12903225806451613,0.06896551724137931,1.0,0.8373493975903614
Outer 15 - Inner 0,56,3,3,0.5926140243203764,7,True,0.7206141454820035,0.18181818181818182,0.10344827586206896,0.9927007299270073,0.8373493975903614
Outer 15 - Inner 1,177,6,3,0.8930628772714813,16,True,0.7165869619934558,0.18181818181818182,0.10344827586206896,0.9927007299270073,0.8373493975903614
Outer 15 - Inner 2,60,3,3,0.9144817417328425,26,True,0.7499370752579915,0.12121212121212122,0.06896551724137931,0.9854014598540146,0.8253012048192772
Outer 15 - Inner 3,156,4,2,0.8188029367887176,29,True,0.7175937578655928,0.18181818181818182,0.10344827586206896,0.9927007299270073,0.8373493975903614
Outer 15 - Inner 4,115,5,2,0.622281667799341,7,True,0.7110495846967028,0.12903225806451613,0.06896551724137931,1.0,0.8373493975903614
Outer 15 - Inner 5,140,7,3,0.9890795262274212,22,True,0.7135665743770451,0.18181818181818182,0.10344827586206896,0.9927007299270073,0.8373493975903614
Outer 16 - Inner 0,140,2,2,0.8235821273595496,17,True,0.7850490812987666,0.29411764705882354,0.1724137931034483,1.0,0.8554216867469879
Outer 16 - Inner 1,146,7,2,0.7806128335851605,7,True,0.7782532091618425,0.1875,0.10344827586206896,1.0,0.8433734939759037
Outer 16 - Inner 2,168,6,4,0.9925882083020261,12,True,0.7991442235086836,0.12903225806451613,0.06896551724137931,1.0,0.8373493975903614
Outer 16 - Inner 3,134,9,3,0.9563587991932483,7,True,0.7774981122577398,0.1875,0.10344827586206896,1.0,0.8433734939759037
Outer 16 - Inner 4,63,3,3,0.7868772312479073,10,True,0.8265794110244148,0.24242424242424243,0.13793103448275862,1.0,0.8493975903614458
Outer 16 - Inner 5,66,5,3,0.8749061036202791,17,True,0.7928517493078279,0.29411764705882354,0.1724137931034483,1.0,0.8554216867469879
Outer 17 - Inner 0,108,10,4,0.8960649959974157,9,True,0.8147495595268059,0.0,0.0,1.0,0.8253012048192772
